Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,033119,1975,04,113.8,Y
IDCJAC0001,033119,1975,05,26.8,Y
IDCJAC0001,033119,1975,06,72.4,Y
IDCJAC0001,033119,1975,07,23.6,Y
IDCJAC0001,033119,1975,08,27.5,Y
IDCJAC0001,033119,1975,09,58.4,Y
IDCJAC0001,033119,1975,10,67.6,Y
IDCJAC0001,033119,1975,11,42.2,Y
IDCJAC0001,033119,1975,12,395.2,Y
IDCJAC0001,033119,1976,01,230.6,Y
IDCJAC0001,033119,1976,02,275.2,Y
IDCJAC0001,033119,1976,03,893.4,Y
IDCJAC0001,033119,1976,04,157.2,Y
IDCJAC0001,033119,1976,05,65.6,Y
IDCJAC0001,033119,1976,06,56.6,Y
IDCJAC0001,033119,1976,07,27.8,Y
IDCJAC0001,033119,1976,08,2.0,Y
IDCJAC0001,033119,1976,09,12.6,Y
IDCJAC0001,033119,1976,10,132.5,Y
IDCJAC0001,033119,1976,11,92.0,Y
IDCJAC0001,033119,1976,12,302.2,Y
IDCJAC0001,033119,1977,01,141.2,Y
IDCJAC0001,033119,1977,02,418.8,Y
IDCJAC0001,033119,1977,03,345.8,Y
IDCJAC0001,033119,1977,04,222.0,Y
IDCJAC0001,033119,1977,05,174.4,Y
IDCJAC0001,033119,1977,06,10.6,Y
IDCJAC0001,033119,1977,07,7.4,Y
IDCJAC0001,033119,1977,08,1.2,Y
IDCJAC0001,033119,1977,09,6.6,Y
IDCJAC0001,033119,1977,10,2.0,Y
IDCJAC0001,033119,1977,11,71.2,Y
IDCJAC0001,033119,1977,12,133.2,Y
IDCJAC0001,033119,1978,01,140.4,Y
IDCJAC0001,033119,1978,02,418.6,Y
IDCJAC0001,033119,1978,03,169.6,Y
IDCJAC0001,033119,1978,04,44.6,Y
IDCJAC0001,033119,1978,05,116.2,Y
IDCJAC0001,033119,1978,06,18.8,Y
IDCJAC0001,033119,1978,07,109.0,Y
IDCJAC0001,033119,1978,08,48.4,Y
IDCJAC0001,033119,1978,09,23.0,Y
IDCJAC0001,033119,1978,10,40.4,Y
IDCJAC0001,033119,1978,11,72.6,Y
IDCJAC0001,033119,1978,12,207.4,Y
IDCJAC0001,033119,1979,01,587.0,Y
IDCJAC0001,033119,1979,02,775.8,Y
IDCJAC0001,033119,1979,03,584.4,Y
IDCJAC0001,033119,1979,04,72.0,Y
IDCJAC0001,033119,1979,05,47.4,Y
IDCJAC0001,033119,1979,06,145.6,Y
IDCJAC0001,033119,1979,07,61.6,Y
IDCJAC0001,033119,1979,08,2.8,Y
IDCJAC0001,033119,1979,09,3.6,Y
IDCJAC0001,033119,1979,10,48.6,Y
IDCJAC0001,033119,1979,11,35.8,Y
IDCJAC0001,033119,1979,12,117.0,Y
IDCJAC0001,033119,1980,01,239.6,Y
IDCJAC0001,033119,1980,02,187.6,Y
IDCJAC0001,033119,1980,03,136.8,Y
IDCJAC0001,033119,1980,04,150.8,Y
IDCJAC0001,033119,1980,05,130.0,Y
IDCJAC0001,033119,1980,06,11.4,Y
IDCJAC0001,033119,1980,07,48.4,Y
IDCJAC0001,033119,1980,08,38.6,Y
IDCJAC0001,033119,1980,09,0.0,Y
IDCJAC0001,033119,1980,10,19.2,Y
IDCJAC0001,033119,1980,11,43.0,Y
IDCJAC0001,033119,1980,12,178.0,Y
IDCJAC0001,033119,1981,01,289.4,Y
IDCJAC0001,033119,1981,02,305.8,Y
IDCJAC0001,033119,1981,03,86.4,Y
IDCJAC0001,033119,1981,04,179.8,Y
IDCJAC0001,033119,1981,05,154.2,Y
IDCJAC0001,033119,1981,06,39.0,Y
IDCJAC0001,033119,1981,07,33.0,Y
IDCJAC0001,033119,1981,08,16.6,Y
IDCJAC0001,033119,1981,09,9.8,Y
IDCJAC0001,033119,1981,10,7.6,Y
IDCJAC0001,033119,1981,11,119.0,Y
IDCJAC0001,033119,1981,12,118.0,Y
IDCJAC0001,033119,1982,01,106.0,Y
IDCJAC0001,033119,1982,02,123.0,Y
IDCJAC0001,033119,1982,03,292.6,Y
IDCJAC0001,033119,1982,04,242.8,Y
IDCJAC0001,033119,1982,05,72.2,Y
IDCJAC0001,033119,1982,06,14.6,Y
IDCJAC0001,033119,1982,07,8.4,Y
IDCJAC0001,033119,1982,08,25.6,Y
IDCJAC0001,033119,1982,09,19.8,Y
IDCJAC0001,033119,1982,10,0.0,Y
IDCJAC0001,033119,1982,11,3.2,Y
IDCJAC0001,033119,1982,12,71.6,Y
IDCJAC0001,033119,1983,01,155.6,Y
IDCJAC0001,033119,1983,02,29.2,Y
IDCJAC0001,033119,1983,03,208.8,Y
IDCJAC0001,033119,1983,04,130.2,Y
IDCJAC0001,033119,1983,05,545.6,Y
IDCJAC0001,033119,1983,06,53.2,Y
IDCJAC0001,033119,1983,07,27.4,Y
IDCJAC0001,033119,1983,08,6.8,Y
IDCJAC0001,033119,1983,09,22.4,Y
IDCJAC0001,033119,1983,10,33.4,Y
IDCJAC0001,033119,1983,11,120.6,Y
IDCJAC0001,033119,1983,12,49.0,Y
IDCJAC0001,033119,1984,01,116.8,Y
IDCJAC0001,033119,1984,02,180.0,Y
IDCJAC0001,033119,1984,03,55.4,Y
IDCJAC0001,033119,1984,04,96.2,Y
IDCJAC0001,033119,1984,05,65.0,Y
IDCJAC0001,033119,1984,06,27.4,Y
IDCJAC0001,033119,1984,07,94.0,Y
IDCJAC0001,033119,1984,08,1.4,Y
IDCJAC0001,033119,1984,09,31.6,Y
IDCJAC0001,033119,1984,10,29.2,Y
IDCJAC0001,033119,1984,11,7.4,Y
IDCJAC0001,033119,1984,12,116.4,Y
IDCJAC0001,033119,1985,01,15.4,Y
IDCJAC0001,033119,1985,02,303.4,Y
IDCJAC0001,033119,1985,03,405.6,Y
IDCJAC0001,033119,1985,04,62.8,Y
IDCJAC0001,033119,1985,05,137.8,Y
IDCJAC0001,033119,1985,06,58.6,Y
IDCJAC0001,033119,1985,07,65.6,Y
IDCJAC0001,033119,1985,08,16.2,Y
IDCJAC0001,033119,1985,09,6.0,Y
IDCJAC0001,033119,1985,10,152.4,Y
IDCJAC0001,033119,1985,11,338.2,Y
IDCJAC0001,033119,1985,12,63.6,Y
IDCJAC0001,033119,1986,01,329.6,Y
IDCJAC0001,033119,1986,02,249.4,Y
IDCJAC0001,033119,1986,03,390.0,Y
IDCJAC0001,033119,1986,04,184.0,Y
IDCJAC0001,033119,1986,05,101.2,Y
IDCJAC0001,033119,1986,06,91.6,Y
IDCJAC0001,033119,1986,07,29.8,Y
IDCJAC0001,033119,1986,08,42.0,Y
