Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,088023,1998,01,30.4,Y
IDCJAC0002,088023,1998,02,29.6,Y
IDCJAC0002,088023,1998,03,27.4,Y
IDCJAC0002,088023,1998,04,20.5,Y
IDCJAC0002,088023,1998,05,15.8,Y
IDCJAC0002,088023,1998,06,12.9,Y
IDCJAC0002,088023,1998,07,11.4,Y
IDCJAC0002,088023,1998,08,15.5,Y
IDCJAC0002,088023,1998,09,17.8,Y
IDCJAC0002,088023,1998,10,18.3,Y
IDCJAC0002,088023,1998,11,22.8,Y
IDCJAC0002,088023,1998,12,26.7,Y
IDCJAC0002,088023,1999,01,31.9,Y
IDCJAC0002,088023,1999,02,29.4,Y
IDCJAC0002,088023,1999,03,25.7,Y
IDCJAC0002,088023,1999,04,20.4,Y
IDCJAC0002,088023,1999,05,17.0,Y
IDCJAC0002,088023,1999,06,13.4,Y
IDCJAC0002,088023,1999,07,13.9,Y
IDCJAC0002,088023,1999,08,15.0,Y
IDCJAC0002,088023,1999,09,18.8,Y
IDCJAC0002,088023,1999,10,20.6,Y
IDCJAC0002,088023,1999,11,22.6,Y
IDCJAC0002,088023,1999,12,25.4,Y
IDCJAC0002,088023,2000,01,26.3,Y
IDCJAC0002,088023,2000,02,31.5,Y
IDCJAC0002,088023,2000,03,26.9,Y
IDCJAC0002,088023,2000,04,22.0,Y
IDCJAC0002,088023,2000,05,14.9,Y
IDCJAC0002,088023,2000,06,12.4,Y
IDCJAC0002,088023,2000,07,12.2,Y
IDCJAC0002,088023,2000,08,14.2,Y
IDCJAC0002,088023,2000,09,16.7,Y
IDCJAC0002,088023,2000,10,18.6,Y
IDCJAC0002,088023,2000,11,25.2,Y
IDCJAC0002,088023,2000,12,27.6,Y
IDCJAC0002,088023,2001,01,32.0,Y
IDCJAC0002,088023,2001,02,30.7,Y
IDCJAC0002,088023,2001,03,25.5,Y
IDCJAC0002,088023,2001,04,21.8,Y
IDCJAC0002,088023,2001,05,16.7,Y
IDCJAC0002,088023,2001,06,13.8,Y
IDCJAC0002,088023,2001,07,13.1,Y
IDCJAC0002,088023,2001,08,13.8,Y
IDCJAC0002,088023,2001,09,19.2,Y
IDCJAC0002,088023,2001,10,18.0,Y
IDCJAC0002,088023,2001,11,22.8,Y
IDCJAC0002,088023,2001,12,24.2,Y
IDCJAC0002,088023,2002,01,28.0,Y
IDCJAC0002,088023,2002,02,26.7,Y
IDCJAC0002,088023,2002,03,26.6,Y
IDCJAC0002,088023,2002,04,23.3,Y
IDCJAC0002,088023,2002,05,17.5,Y
IDCJAC0002,088023,2002,06,13.1,Y
IDCJAC0002,088023,2002,07,13.1,Y
IDCJAC0002,088023,2002,08,14.9,Y
IDCJAC0002,088023,2002,09,17.4,Y
IDCJAC0002,088023,2002,10,20.4,Y
IDCJAC0002,088023,2002,11,26.2,Y
IDCJAC0002,088023,2002,12,27.3,Y
IDCJAC0002,088023,2003,01,30.5,Y
IDCJAC0002,088023,2003,02,30.3,Y
IDCJAC0002,088023,2003,03,25.6,Y
IDCJAC0002,088023,2003,04,21.2,Y
IDCJAC0002,088023,2003,05,16.5,Y
IDCJAC0002,088023,2003,06,12.5,Y
IDCJAC0002,088023,2003,07,13.0,Y
IDCJAC0002,088023,2003,08,12.8,Y
IDCJAC0002,088023,2003,09,15.4,Y
IDCJAC0002,088023,2003,10,17.0,Y
IDCJAC0002,088023,2003,11,24.5,Y
IDCJAC0002,088023,2003,12,28.2,Y
IDCJAC0002,088023,2004,01,27.4,Y
IDCJAC0002,088023,2004,02,30.2,Y
IDCJAC0002,088023,2004,03,27.5,Y
IDCJAC0002,088023,2004,04,22.2,Y
IDCJAC0002,088023,2004,05,15.5,Y
IDCJAC0002,088023,2004,06,12.3,Y
IDCJAC0002,088023,2004,07,12.2,Y
IDCJAC0002,088023,2004,08,14.1,Y
IDCJAC0002,088023,2004,09,16.4,Y
IDCJAC0002,088023,2004,10,21.2,Y
IDCJAC0002,088023,2004,11,23.3,Y
IDCJAC0002,088023,2004,12,25.7,Y
IDCJAC0002,088023,2005,01,28.5,Y
IDCJAC0002,088023,2005,02,25.5,Y
IDCJAC0002,088023,2005,03,25.0,Y
IDCJAC0002,088023,2005,04,24.2,Y
IDCJAC0002,088023,2005,05,18.1,Y
IDCJAC0002,088023,2005,06,14.5,Y
IDCJAC0002,088023,2005,07,12.9,Y
IDCJAC0002,088023,2005,08,14.0,Y
IDCJAC0002,088023,2005,09,17.2,Y
IDCJAC0002,088023,2005,10,20.6,Y
IDCJAC0002,088023,2005,11,24.0,Y
IDCJAC0002,088023,2005,12,27.0,Y
IDCJAC0002,088023,2006,01,31.7,Y
IDCJAC0002,088023,2006,02,29.1,Y
IDCJAC0002,088023,2006,03,28.1,Y
IDCJAC0002,088023,2006,04,17.9,Y
IDCJAC0002,088023,2006,05,15.3,Y
IDCJAC0002,088023,2006,06,12.3,Y
IDCJAC0002,088023,2006,07,13.2,Y
IDCJAC0002,088023,2006,08,15.6,Y
IDCJAC0002,088023,2006,09,19.1,Y
IDCJAC0002,088023,2006,10,23.3,Y
IDCJAC0002,088023,2006,11,26.5,Y
IDCJAC0002,088023,2006,12,28.3,Y
IDCJAC0002,088023,2007,01,30.7,Y
IDCJAC0002,088023,2007,02,32.9,Y
IDCJAC0002,088023,2007,03,27.1,Y
IDCJAC0002,088023,2007,04,23.4,Y
IDCJAC0002,088023,2007,05,17.7,Y
IDCJAC0002,088023,2007,06,12.8,Y
IDCJAC0002,088023,2007,07,12.1,Y
IDCJAC0002,088023,2007,08,15.8,Y
IDCJAC0002,088023,2007,09,17.0,Y
IDCJAC0002,088023,2007,10,21.4,Y
IDCJAC0002,088023,2007,11,26.5,Y
IDCJAC0002,088023,2007,12,27.7,Y
IDCJAC0002,088023,2008,01,31.2,Y
IDCJAC0002,088023,2008,02,27.2,Y
IDCJAC0002,088023,2008,03,28.3,Y
IDCJAC0002,088023,2008,04,20.3,Y
IDCJAC0002,088023,2008,05,15.8,Y
IDCJAC0002,088023,2008,06,14.2,Y
IDCJAC0002,088023,2008,07,12.0,Y
IDCJAC0002,088023,2008,08,12.7,Y
IDCJAC0002,088023,2008,09,18.3,Y
IDCJAC0002,088023,2008,10,22.2,Y
IDCJAC0002,088023,2008,11,23.3,Y
IDCJAC0002,088023,2008,12,24.5,Y
IDCJAC0002,088023,2009,01,32.3,Y
IDCJAC0002,088023,2009,02,30.7,Y
IDCJAC0002,088023,2009,03,26.2,Y
IDCJAC0002,088023,2009,04,21.1,Y
IDCJAC0002,088023,2009,05,17.4,Y
IDCJAC0002,088023,2009,06,12.9,Y
IDCJAC0002,088023,2009,07,12.6,Y
IDCJAC0002,088023,2009,08,14.3,Y
IDCJAC0002,088023,2009,09,16.9,Y
IDCJAC0002,088023,2009,10,20.2,Y
IDCJAC0002,088023,2009,11,28.8,Y
IDCJAC0002,088023,2009,12,28.2,Y
IDCJAC0002,088023,2010,01,30.8,Y
IDCJAC0002,088023,2010,02,30.2,Y
IDCJAC0002,088023,2010,03,26.0,Y
IDCJAC0002,088023,2010,04,21.5,Y
IDCJAC0002,088023,2010,05,16.5,Y
IDCJAC0002,088023,2010,06,12.6,Y
IDCJAC0002,088023,2010,07,12.1,Y
IDCJAC0002,088023,2010,08,12.4,Y
IDCJAC0002,088023,2010,09,15.3,Y
IDCJAC0002,088023,2010,10,20.4,Y
IDCJAC0002,088023,2010,11,24.2,Y
IDCJAC0002,088023,2010,12,25.1,Y
IDCJAC0002,088023,2011,01,29.3,Y
IDCJAC0002,088023,2011,02,26.7,Y
IDCJAC0002,088023,2011,03,24.1,Y
IDCJAC0002,088023,2011,04,20.1,Y
IDCJAC0002,088023,2011,05,14.6,Y
